ADDRESS,LATITUDE,LONGITUDE,MAX_FLOOR,PLANNING_AREA,MIN_MRT_DIST,MIN_MRT(OPEN)_DIST,MIN_HAWK_DIST,HAWK_TYPE,HAWK_OWNER,HAWK_NUMBER_OF_STALLS,MIN_PS_DIST,MIN_SS_DIST,MIN_MALL_DIST
444 tampines street 42,1.358341,103.95138,12,tampines,1.0459323181269382,1.476894961536728,2.098838350235655,HC,Government,36,0.060930192104124134,0.2549063454816029,1.5899703140187624
623 bedok reservoir road,1.333658,103.916805,12,bedok,1.0459323181269382,1.476894961536728,2.098838350235655,HC,Government,36,0.060930192104124134,0.2549063454816029,1.5899703140187624
9 toh yi drive,1.338305,103.773542,13,bukit timah,1.0459323181269382,1.476894961536728,2.098838350235655,HC,Government,36,0.060930192104124134,0.2549063454816029,1.5899703140187624
49 teban gardens road,1.320989,103.738181,4,jurong east,1.0459323181269382,1.476894961536728,2.098838350235655,HC,Government,36,0.060930192104124134,0.2549063454816029,1.5899703140187624
214 bishan street 23,1.357512,103.848303,11,bishan,1.0459323181269382,1.476894961536728,2.098838350235655,HC,Government,36,0.060930192104124134,0.2549063454816029,1.5899703140187624
257 kim keat avenue,1.332607,103.857271,13,toa payoh,1.0459323181269382,1.476894961536728,2.098838350235655,HC,Government,36,0.060930192104124134,0.2549063454816029,1.5899703140187624
158B rivervale crescent,1.388413,103.906676,18,sengkang,1.0459323181269382,1.476894961536728,2.098838350235655,HC,Government,36,0.060930192104124134,0.2549063454816029,1.5899703140187624
105 potong pasir avenue 1,1.334424,103.868697,16,toa payoh,1.0459323181269382,1.476894961536728,2.098838350235655,HC,Government,36,0.060930192104124134,0.2549063454816029,1.5899703140187624
250 jurong east street 24,1.342653,103.739977,12,jurong east,1.0459323181269382,1.476894961536728,2.098838350235655,HC,Government,36,0.060930192104124134,0.2549063454816029,1.5899703140187624
902 jurong west street 91,1.339116,103.68661,13,jurong west,1.0459323181269382,1.476894961536728,2.098838350235655,HC,Government,36,0.060930192104124134,0.2549063454816029,1.5899703140187624
111 clementi street 13,1.323216,103.771126,13,clementi,1.0459323181269382,1.476894961536728,2.098838350235655,HC,Government,36,0.060930192104124134,0.2549063454816029,1.5899703140187624
820 tampines street 81,1.34793,103.93612,4,tampines,1.0459323181269382,1.476894961536728,2.098838350235655,HC,Government,36,0.060930192104124134,0.2549063454816029,1.5899703140187624
302B anchorvale link,1.387862,103.890705,15,sengkang,1.0459323181269382,1.476894961536728,2.098838350235655,HC,Government,36,0.060930192104124134,0.2549063454816029,1.5899703140187624
123 teck whye lane,1.379196,103.749458,11,choa chu kang,1.0459323181269382,1.476894961536728,2.098838350235655,HC,Government,36,0.060930192104124134,0.2549063454816029,1.5899703140187624
550 serangoon north avenue 3,1.37271,103.870605,16,serangoon,1.0459323181269382,1.476894961536728,2.098838350235655,HC,Government,36,0.060930192104124134,0.2549063454816029,1.5899703140187624
591A montreal link,1.450756,103.826237,15,sembawang,1.0459323181269382,1.476894961536728,2.098838350235655,HC,Government,36,0.060930192104124134,0.2549063454816029,1.5899703140187624
374 hougang street 31,1.362869,103.889828,18,hougang,1.0459323181269382,1.476894961536728,2.098838350235655,HC,Government,36,0.060930192104124134,0.2549063454816029,1.5899703140187624
451 hougang avenue 10,1.378837,103.895916,13,hougang,1.0459323181269382,1.476894961536728,2.098838350235655,HC,Government,36,0.060930192104124134,0.2549063454816029,1.5899703140187624
238 bishan street 22,1.359761,103.844643,13,bishan,1.0459323181269382,1.476894961536728,2.098838350235655,HC,Government,36,0.060930192104124134,0.2549063454816029,1.5899703140187624
4 delta avenue,1.291829,103.826546,16,bukit merah,1.0459323181269382,1.476894961536728,2.098838350235655,HC,Government,36,0.060930192104124134,0.2549063454816029,1.5899703140187624
638 bedok reservoir road,1.331445,103.904435,15,bedok,1.0459323181269382,1.476894961536728,2.098838350235655,HC,Government,36,0.060930192104124134,0.2549063454816029,1.5899703140187624
275A compassvale link,1.382874,103.894604,15,sengkang,1.0459323181269382,1.476894961536728,2.098838350235655,HC,Government,36,0.060930192104124134,0.2549063454816029,1.5899703140187624
103 jurong east street 13,1.336687,103.738059,25,jurong east,1.0459323181269382,1.476894961536728,2.098838350235655,HC,Government,36,0.060930192104124134,0.2549063454816029,1.5899703140187624
291 bishan street 24,1.35591,103.845158,30,bishan,1.0459323181269382,1.476894961536728,2.098838350235655,HC,Government,36,0.060930192104124134,0.2549063454816029,1.5899703140187624
334 tampines street 32,1.35239,103.961042,10,tampines,1.0459323181269382,1.476894961536728,2.098838350235655,HC,Government,36,0.060930192104124134,0.2549063454816029,1.5899703140187624
305D punggol drive,1.405832,103.906791,16,punggol,1.0459323181269382,1.476894961536728,2.098838350235655,HC,Government,36,0.060930192104124134,0.2549063454816029,1.5899703140187624
376 clementi avenue 4,1.3181,103.766693,12,clementi,1.0459323181269382,1.476894961536728,2.098838350235655,HC,Government,36,0.060930192104124134,0.2549063454816029,1.5899703140187624
261 toa payoh east,1.333504,103.855238,36,toa payoh,1.0459323181269382,1.476894961536728,2.098838350235655,HC,Government,36,0.060930192104124134,0.2549063454816029,1.5899703140187624
873 woodlands street 81,1.443295,103.789747,12,woodlands,1.0459323181269382,1.476894961536728,2.098838350235655,HC,Government,36,0.060930192104124134,0.2549063454816029,1.5899703140187624
230G tampines street 21,1.356167,103.9503,12,tampines,1.0459323181269382,1.476894961536728,2.098838350235655,HC,Government,36,0.060930192104124134,0.2549063454816029,1.5899703140187624
721 jurong west avenue 5,1.343993,103.697596,12,jurong west,1.0459323181269382,1.476894961536728,2.098838350235655,HC,Government,36,0.060930192104124134,0.2549063454816029,1.5899703140187624
52 commonwealth drive,1.301903,103.797243,20,queenstown,1.0459323181269382,1.476894961536728,2.098838350235655,HC,Government,36,0.060930192104124134,0.2549063454816029,1.5899703140187624
308A punggol walk,1.407761,103.900999,18,punggol,1.0459323181269382,1.476894961536728,2.098838350235655,HC,Government,36,0.060930192104124134,0.2549063454816029,1.5899703140187624
233 pending road,1.376526,103.77168,13,bukit panjang,1.0459323181269382,1.476894961536728,2.098838350235655,HC,Government,36,0.060930192104124134,0.2549063454816029,1.5899703140187624
127 hougang avenue 1,1.352917,103.88568,4,hougang,1.0459323181269382,1.476894961536728,2.098838350235655,HC,Government,36,0.060930192104124134,0.2549063454816029,1.5899703140187624
301 ang mo kio avenue 3,1.367421,103.845904,12,ang mo kio,1.0459323181269382,1.476894961536728,2.098838350235655,HC,Government,36,0.060930192104124134,0.2549063454816029,1.5899703140187624
608 ang mo kio avenue 5,1.378582,103.83676,12,ang mo kio,1.0459323181269382,1.476894961536728,2.098838350235655,HC,Government,36,0.060930192104124134,0.2549063454816029,1.5899703140187624
273 choa chu kang avenue 2,1.37925,103.743073,14,choa chu kang,1.0459323181269382,1.476894961536728,2.098838350235655,HC,Government,36,0.060930192104124134,0.2549063454816029,1.5899703140187624
16 telok blangah crescent,1.278054,103.821505,14,bukit merah,1.0459323181269382,1.476894961536728,2.098838350235655,HC,Government,36,0.060930192104124134,0.2549063454816029,1.5899703140187624
473A fernvale street,1.39786,103.881233,26,sengkang,1.0459323181269382,1.476894961536728,2.098838350235655,HC,Government,36,0.060930192104124134,0.2549063454816029,1.5899703140187624
398 yishun ring road,1.427676,103.846523,12,yishun,1.0459323181269382,1.476894961536728,2.098838350235655,HC,Government,36,0.060930192104124134,0.2549063454816029,1.5899703140187624
391 yishun avenue 6,1.429468,103.849171,11,yishun,1.0459323181269382,1.476894961536728,2.098838350235655,HC,Government,36,0.060930192104124134,0.2549063454816029,1.5899703140187624
495C tampines street 43,1.363239,103.951625,13,tampines,1.0459323181269382,1.476894961536728,2.098838350235655,HC,Government,36,0.060930192104124134,0.2549063454816029,1.5899703140187624
643 hougang avenue 8,1.371546,103.88062,17,hougang,1.0459323181269382,1.476894961536728,2.098838350235655,HC,Government,36,0.060930192104124134,0.2549063454816029,1.5899703140187624
245 bukit batok east avenue 5,1.349648,103.757333,4,bukit batok,1.0459323181269382,1.476894961536728,2.098838350235655,HC,Government,36,0.060930192104124134,0.2549063454816029,1.5899703140187624
662B edgedale plains,1.401722,103.918691,19,punggol,1.0459323181269382,1.476894961536728,2.098838350235655,HC,Government,36,0.060930192104124134,0.2549063454816029,1.5899703140187624
450 ang mo kio avenue 10,1.368484,103.855468,4,ang mo kio,1.0459323181269382,1.476894961536728,2.098838350235655,HC,Government,36,0.060930192104124134,0.2549063454816029,1.5899703140187624
628 yishun street 61,1.418078,103.836957,12,yishun,1.0459323181269382,1.476894961536728,2.098838350235655,HC,Government,36,0.060930192104124134,0.2549063454816029,1.5899703140187624
411A fernvale road,1.390548,103.876909,25,sengkang,1.0459323181269382,1.476894961536728,2.098838350235655,HC,Government,36,0.060930192104124134,0.2549063454816029,1.5899703140187624
533 bedok north street 3,1.33358,103.924219,13,bedok,1.0459323181269382,1.476894961536728,2.098838350235655,HC,Government,36,0.060930192104124134,0.2549063454816029,1.5899703140187624
271B punggol walk,1.404171,103.900581,16,punggol,1.0459323181269382,1.476894961536728,2.098838350235655,HC,Government,36,0.060930192104124134,0.2549063454816029,1.5899703140187624
509C yishun avenue 4,1.414303,103.840417,13,yishun,1.0459323181269382,1.476894961536728,2.098838350235655,HC,Government,36,0.060930192104124134,0.2549063454816029,1.5899703140187624
119 pending road,1.376538,103.769042,4,bukit panjang,1.0459323181269382,1.476894961536728,2.098838350235655,HC,Government,36,0.060930192104124134,0.2549063454816029,1.5899703140187624
672C yishun avenue 4,1.418361,103.842651,13,yishun,1.0459323181269382,1.476894961536728,2.098838350235655,HC,Government,36,0.060930192104124134,0.2549063454816029,1.5899703140187624
304A anchorvale link,1.387892,103.888922,16,sengkang,1.0459323181269382,1.476894961536728,2.098838350235655,HC,Government,36,0.060930192104124134,0.2549063454816029,1.5899703140187624
168B simei lane,1.342612,103.958768,12,tampines,1.0459323181269382,1.476894961536728,2.098838350235655,HC,Government,36,0.060930192104124134,0.2549063454816029,1.5899703140187624
34 upper cross street,1.286235,103.842303,20,outram,1.0459323181269382,1.476894961536728,2.098838350235655,HC,Government,36,0.060930192104124134,0.2549063454816029,1.5899703140187624
21 ghim moh road,1.310103,103.788546,10,queenstown,1.0459323181269382,1.476894961536728,2.098838350235655,HC,Government,36,0.060930192104124134,0.2549063454816029,1.5899703140187624
433 choa chu kang avenue 4,1.384931,103.741772,12,choa chu kang,1.0459323181269382,1.476894961536728,2.098838350235655,HC,Government,36,0.060930192104124134,0.2549063454816029,1.5899703140187624
134 teck whye lane,1.380266,103.750957,15,choa chu kang,1.0459323181269382,1.476894961536728,2.098838350235655,HC,Government,36,0.060930192104124134,0.2549063454816029,1.5899703140187624
257A compassvale road,1.392386,103.897648,15,sengkang,1.0459323181269382,1.476894961536728,2.098838350235655,HC,Government,36,0.060930192104124134,0.2549063454816029,1.5899703140187624
15 upper boon keng road,1.315873,103.871296,16,kallang,1.0459323181269382,1.476894961536728,2.098838350235655,HC,Government,36,0.060930192104124134,0.2549063454816029,1.5899703140187624
610 jurong west street 65,1.338325,103.700856,15,jurong west,1.0459323181269382,1.476894961536728,2.098838350235655,HC,Government,36,0.060930192104124134,0.2549063454816029,1.5899703140187624
482 segar road,1.389161,103.772292,16,bukit panjang,1.0459323181269382,1.476894961536728,2.098838350235655,HC,Government,36,0.060930192104124134,0.2549063454816029,1.5899703140187624
99B lorong 2 toa payoh,1.338745,103.847253,13,toa payoh,1.0459323181269382,1.476894961536728,2.098838350235655,HC,Government,36,0.060930192104124134,0.2549063454816029,1.5899703140187624
636 pasir ris drive 1,1.37679,103.940742,13,pasir ris,1.0459323181269382,1.476894961536728,2.098838350235655,HC,Government,36,0.060930192104124134,0.2549063454816029,1.5899703140187624
517 woodlands drive 14,1.43383,103.79168,12,woodlands,1.0459323181269382,1.476894961536728,2.098838350235655,HC,Government,36,0.060930192104124134,0.2549063454816029,1.5899703140187624
188B rivervale drive,1.394541,103.905459,17,sengkang,1.0459323181269382,1.476894961536728,2.098838350235655,HC,Government,36,0.060930192104124134,0.2549063454816029,1.5899703140187624
410 hougang avenue 10,1.373886,103.894682,4,hougang,1.0459323181269382,1.476894961536728,2.098838350235655,HC,Government,36,0.060930192104124134,0.2549063454816029,1.5899703140187624
681 race course road,1.313721,103.855273,12,kallang,1.0459323181269382,1.476894961536728,2.098838350235655,HC,Government,36,0.060930192104124134,0.2549063454816029,1.5899703140187624
159 bedok south avenue 3,1.319046,103.945624,13,bedok,1.0459323181269382,1.476894961536728,2.098838350235655,HC,Government,36,0.060930192104124134,0.2549063454816029,1.5899703140187624
92 commonwealth drive,1.305732,103.800254,10,queenstown,1.0459323181269382,1.476894961536728,2.098838350235655,HC,Government,36,0.060930192104124134,0.2549063454816029,1.5899703140187624
272A sengkang central,1.385262,103.893959,15,sengkang,1.0459323181269382,1.476894961536728,2.098838350235655,HC,Government,36,0.060930192104124134,0.2549063454816029,1.5899703140187624
259 boon lay drive,1.345514,103.708636,15,jurong west,1.0459323181269382,1.476894961536728,2.098838350235655,HC,Government,36,0.060930192104124134,0.2549063454816029,1.5899703140187624
364 tampines street 34,1.356938,103.959873,10,tampines,1.0459323181269382,1.476894961536728,2.098838350235655,HC,Government,36,0.060930192104124134,0.2549063454816029,1.5899703140187624
441 hougang avenue 8,1.378453,103.89394,4,hougang,1.0459323181269382,1.476894961536728,2.098838350235655,HC,Government,36,0.060930192104124134,0.2549063454816029,1.5899703140187624
296E choa chu kang avenue 2,1.376917,103.743047,15,choa chu kang,1.0459323181269382,1.476894961536728,2.098838350235655,HC,Government,36,0.060930192104124134,0.2549063454816029,1.5899703140187624
292 bishan street 22,1.356017,103.845668,24,bishan,1.0459323181269382,1.476894961536728,2.098838350235655,HC,Government,36,0.060930192104124134,0.2549063454816029,1.5899703140187624
612 woodlands avenue 4,1.435082,103.796733,12,woodlands,1.0459323181269382,1.476894961536728,2.098838350235655,HC,Government,36,0.060930192104124134,0.2549063454816029,1.5899703140187624
446 jurong west street 42,1.352216,103.719556,4,jurong west,1.0459323181269382,1.476894961536728,2.098838350235655,HC,Government,36,0.060930192104124134,0.2549063454816029,1.5899703140187624
543 jelapang road,1.382495,103.764046,19,bukit panjang,1.0459323181269382,1.476894961536728,2.098838350235655,HC,Government,36,0.060930192104124134,0.2549063454816029,1.5899703140187624
605 yishun street 61,1.421726,103.836336,13,yishun,1.0459323181269382,1.476894961536728,2.098838350235655,HC,Government,36,0.060930192104124134,0.2549063454816029,1.5899703140187624
672B klang lane,1.309037,103.852848,19,rochor,1.0459323181269382,1.476894961536728,2.098838350235655,HC,Government,36,0.060930192104124134,0.2549063454816029,1.5899703140187624
630 yishun street 61,1.418019,103.837784,12,yishun,1.0459323181269382,1.476894961536728,2.098838350235655,HC,Government,36,0.060930192104124134,0.2549063454816029,1.5899703140187624
637 veerasamy road,1.307028,103.855528,13,rochor,1.0459323181269382,1.476894961536728,2.098838350235655,HC,Government,36,0.060930192104124134,0.2549063454816029,1.5899703140187624
5 teck whye avenue,1.382114,103.753565,13,choa chu kang,1.0459323181269382,1.476894961536728,2.098838350235655,HC,Government,36,0.060930192104124134,0.2549063454816029,1.5899703140187624
519 jurong west street 52,1.345538,103.717583,4,jurong west,1.0459323181269382,1.476894961536728,2.098838350235655,HC,Government,36,0.060930192104124134,0.2549063454816029,1.5899703140187624
484A choa chu kang avenue 5,1.376685,103.736818,16,choa chu kang,1.0459323181269382,1.476894961536728,2.098838350235655,HC,Government,36,0.060930192104124134,0.2549063454816029,1.5899703140187624
503C canberra link,1.450538,103.822941,13,sembawang,1.0459323181269382,1.476894961536728,2.098838350235655,HC,Government,36,0.060930192104124134,0.2549063454816029,1.5899703140187624
508 jurong west street 52,1.348727,103.718715,4,jurong west,1.0459323181269382,1.476894961536728,2.098838350235655,HC,Government,36,0.060930192104124134,0.2549063454816029,1.5899703140187624
129 marsiling rise,1.437811,103.778702,10,woodlands,1.0459323181269382,1.476894961536728,2.098838350235655,HC,Government,36,0.060930192104124134,0.2549063454816029,1.5899703140187624
413 tampines street 41,1.359459,103.945575,4,tampines,1.0459323181269382,1.476894961536728,2.098838350235655,HC,Government,36,0.060930192104124134,0.2549063454816029,1.5899703140187624
519 woodlands drive 14,1.434589,103.791963,12,woodlands,1.0459323181269382,1.476894961536728,2.098838350235655,HC,Government,36,0.060930192104124134,0.2549063454816029,1.5899703140187624
664C jurong west street 64,1.338211,103.703156,16,jurong west,1.0459323181269382,1.476894961536728,2.098838350235655,HC,Government,36,0.060930192104124134,0.2549063454816029,1.5899703140187624
231 serangoon avenue 3,1.355018,103.868368,12,serangoon,1.0459323181269382,1.476894961536728,2.098838350235655,HC,Government,36,0.060930192104124134,0.2549063454816029,1.5899703140187624
667C jurong west street 65,1.341148,103.702296,16,jurong west,1.0459323181269382,1.476894961536728,2.098838350235655,HC,Government,36,0.060930192104124134,0.2549063454816029,1.5899703140187624
763 yishun street 72,1.425362,103.834546,4,yishun,1.0459323181269382,1.476894961536728,2.098838350235655,HC,Government,36,0.060930192104124134,0.2549063454816029,1.5899703140187624
316 sembawang vista,1.446343,103.820817,16,sembawang,1.0459323181269382,1.476894961536728,2.098838350235655,HC,Government,36,0.060930192104124134,0.2549063454816029,1.5899703140187624
311C anchorvale lane,1.391571,103.884436,18,sengkang,1.0459323181269382,1.476894961536728,2.098838350235655,HC,Government,36,0.060930192104124134,0.2549063454816029,1.5899703140187624
803 tampines avenue 4,1.345198,103.937689,9,tampines,1.0459323181269382,1.476894961536728,2.098838350235655,HC,Government,36,0.060930192104124134,0.2549063454816029,1.5899703140187624
108 mcnair road,1.321619,103.859383,15,kallang,1.0459323181269382,1.476894961536728,2.098838350235655,HC,Government,36,0.060930192104124134,0.2549063454816029,1.5899703140187624
120 bukit merah view,1.282774,103.822612,16,bukit merah,1.0459323181269382,1.476894961536728,2.098838350235655,HC,Government,36,0.060930192104124134,0.2549063454816029,1.5899703140187624
314A punggol way,1.408262,103.898018,18,punggol,1.0459323181269382,1.476894961536728,2.098838350235655,HC,Government,36,0.060930192104124134,0.2549063454816029,1.5899703140187624
219 pasir ris street 21,1.369264,103.961693,12,pasir ris,1.0459323181269382,1.476894961536728,2.098838350235655,HC,Government,36,0.060930192104124134,0.2549063454816029,1.5899703140187624
703 woodlands drive 40,1.440957,103.796577,12,woodlands,1.0459323181269382,1.476894961536728,2.098838350235655,HC,Government,36,0.060930192104124134,0.2549063454816029,1.5899703140187624
263 boon lay drive,1.344942,103.707024,15,jurong west,1.0459323181269382,1.476894961536728,2.098838350235655,HC,Government,36,0.060930192104124134,0.2549063454816029,1.5899703140187624
604B tampines avenue 9,1.361407,103.935627,16,tampines,1.0459323181269382,1.476894961536728,2.098838350235655,HC,Government,36,0.060930192104124134,0.2549063454816029,1.5899703140187624
7 upper aljunied lane,1.334715,103.878708,18,toa payoh,1.0459323181269382,1.476894961536728,2.098838350235655,HC,Government,36,0.060930192104124134,0.2549063454816029,1.5899703140187624
282 choa chu kang avenue 3,1.380254,103.743214,13,choa chu kang,1.0459323181269382,1.476894961536728,2.098838350235655,HC,Government,36,0.060930192104124134,0.2549063454816029,1.5899703140187624
533 bukit panjang ring road,1.384956,103.763765,24,bukit panjang,1.0459323181269382,1.476894961536728,2.098838350235655,HC,Government,36,0.060930192104124134,0.2549063454816029,1.5899703140187624
70 bedok south road,1.319969,103.942819,16,bedok,1.0459323181269382,1.476894961536728,2.098838350235655,HC,Government,36,0.060930192104124134,0.2549063454816029,1.5899703140187624
679C jurong west central 1,1.343923,103.706396,15,jurong west,1.0459323181269382,1.476894961536728,2.098838350235655,HC,Government,36,0.060930192104124134,0.2549063454816029,1.5899703140187624
360B admiralty drive,1.448738,103.815232,16,sembawang,1.0459323181269382,1.476894961536728,2.098838350235655,HC,Government,36,0.060930192104124134,0.2549063454816029,1.5899703140187624
938 tampines avenue 5,1.347904,103.941725,9,tampines,1.0459323181269382,1.476894961536728,2.098838350235655,HC,Government,36,0.060930192104124134,0.2549063454816029,1.5899703140187624
55 strathmore avenue,1.293383,103.809331,20,queenstown,1.0459323181269382,1.476894961536728,2.098838350235655,HC,Government,36,0.060930192104124134,0.2549063454816029,1.5899703140187624
261 serangoon central drive,1.354053,103.872524,4,serangoon,1.0459323181269382,1.476894961536728,2.098838350235655,HC,Government,36,0.060930192104124134,0.2549063454816029,1.5899703140187624
530 jelapang road,1.384715,103.765271,23,bukit panjang,1.0459323181269382,1.476894961536728,2.098838350235655,HC,Government,36,0.060930192104124134,0.2549063454816029,1.5899703140187624
128 simei street 1,1.346901,103.954856,4,tampines,1.0459323181269382,1.476894961536728,2.098838350235655,HC,Government,36,0.060930192104124134,0.2549063454816029,1.5899703140187624
381 tampines street 32,1.354019,103.958966,12,tampines,1.0459323181269382,1.476894961536728,2.098838350235655,HC,Government,36,0.060930192104124134,0.2549063454816029,1.5899703140187624
406B northshore drive,1.416412,103.901127,24,punggol,1.0459323181269382,1.476894961536728,2.098838350235655,HC,Government,36,0.060930192104124134,0.2549063454816029,1.5899703140187624
8 kim tian place,1.28303,103.827237,25,bukit merah,1.0459323181269382,1.476894961536728,2.098838350235655,HC,Government,36,0.060930192104124134,0.2549063454816029,1.5899703140187624
672A edgefield plains,1.406414,103.91262,16,punggol,1.0459323181269382,1.476894961536728,2.098838350235655,HC,Government,36,0.060930192104124134,0.2549063454816029,1.5899703140187624
347 tampines street 33,1.35188,103.963114,10,tampines,1.0459323181269382,1.476894961536728,2.098838350235655,HC,Government,36,0.060930192104124134,0.2549063454816029,1.5899703140187624
365 corporation drive,1.337726,103.720185,10,jurong west,1.0459323181269382,1.476894961536728,2.098838350235655,HC,Government,36,0.060930192104124134,0.2549063454816029,1.5899703140187624
415 woodlands street 41,1.427906,103.774008,13,woodlands,1.0459323181269382,1.476894961536728,2.098838350235655,HC,Government,36,0.060930192104124134,0.2549063454816029,1.5899703140187624
158 pasir ris street 13,1.364675,103.962236,9,pasir ris,1.0459323181269382,1.476894961536728,2.098838350235655,HC,Government,36,0.060930192104124134,0.2549063454816029,1.5899703140187624
606 clementi west street 1,1.304854,103.76799,22,clementi,1.0459323181269382,1.476894961536728,2.098838350235655,HC,Government,36,0.060930192104124134,0.2549063454816029,1.5899703140187624
230E tampines street 24,1.356092,103.951045,12,tampines,1.0459323181269382,1.476894961536728,2.098838350235655,HC,Government,36,0.060930192104124134,0.2549063454816029,1.5899703140187624
60 geylang bahru,1.322821,103.869178,21,kallang,1.0459323181269382,1.476894961536728,2.098838350235655,HC,Government,36,0.060930192104124134,0.2549063454816029,1.5899703140187624
915 tampines street 91,1.348606,103.939564,13,tampines,1.0459323181269382,1.476894961536728,2.098838350235655,HC,Government,36,0.060930192104124134,0.2549063454816029,1.5899703140187624
312A clementi avenue 4,1.319089,103.764441,40,clementi,1.0459323181269382,1.476894961536728,2.098838350235655,HC,Government,36,0.060930192104124134,0.2549063454816029,1.5899703140187624
918 jurong west street 91,1.340579,103.687171,4,jurong west,1.0459323181269382,1.476894961536728,2.098838350235655,HC,Government,36,0.060930192104124134,0.2549063454816029,1.5899703140187624
159 simei road,1.344802,103.959862,4,tampines,1.0459323181269382,1.476894961536728,2.098838350235655,HC,Government,36,0.060930192104124134,0.2549063454816029,1.5899703140187624
83 whampoa drive,1.323575,103.857035,20,novena,1.0459323181269382,1.476894961536728,2.098838350235655,HC,Government,36,0.060930192104124134,0.2549063454816029,1.5899703140187624
698D hougang street 52,1.375637,103.888739,18,hougang,1.0459323181269382,1.476894961536728,2.098838350235655,HC,Government,36,0.060930192104124134,0.2549063454816029,1.5899703140187624
471A upper serangoon crescent,1.378145,103.901767,18,hougang,1.0459323181269382,1.476894961536728,2.098838350235655,HC,Government,36,0.060930192104124134,0.2549063454816029,1.5899703140187624
292B compassvale street,1.395399,103.898745,15,sengkang,1.0459323181269382,1.476894961536728,2.098838350235655,HC,Government,36,0.060930192104124134,0.2549063454816029,1.5899703140187624
52 lorong 6 toa payoh,1.338249,103.852482,12,toa payoh,1.0459323181269382,1.476894961536728,2.098838350235655,HC,Government,36,0.060930192104124134,0.2549063454816029,1.5899703140187624
308A anchorvale road,1.389895,103.88592,17,sengkang,1.0459323181269382,1.476894961536728,2.098838350235655,HC,Government,36,0.060930192104124134,0.2549063454816029,1.5899703140187624
6 jalan bukit ho swee,1.287639,103.831443,9,bukit merah,1.0459323181269382,1.476894961536728,2.098838350235655,HC,Government,36,0.060930192104124134,0.2549063454816029,1.5899703140187624
720 bedok reservoir road,1.335973,103.924883,11,bedok,1.0459323181269382,1.476894961536728,2.098838350235655,HC,Government,36,0.060930192104124134,0.2549063454816029,1.5899703140187624
780 yishun ring road,1.422139,103.832883,4,yishun,1.0459323181269382,1.476894961536728,2.098838350235655,HC,Government,36,0.060930192104124134,0.2549063454816029,1.5899703140187624
353 kang ching road,1.339636,103.720528,11,jurong west,1.0459323181269382,1.476894961536728,2.098838350235655,HC,Government,36,0.060930192104124134,0.2549063454816029,1.5899703140187624
649 ang mo kio avenue 5,1.377763,103.843782,13,ang mo kio,1.0459323181269382,1.476894961536728,2.098838350235655,HC,Government,36,0.060930192104124134,0.2549063454816029,1.5899703140187624
259C punggol field,1.404534,103.895666,17,punggol,1.0459323181269382,1.476894961536728,2.098838350235655,HC,Government,36,0.060930192104124134,0.2549063454816029,1.5899703140187624
1C cantonment road,1.277449,103.841667,50,outram,1.0459323181269382,1.476894961536728,2.098838350235655,HC,Government,36,0.060930192104124134,0.2549063454816029,1.5899703140187624
