ADDRESS,LATITUDE,LONGITUDE,MAX_FLOOR,PLANNING_AREA,MIN_MRT_DIST,MRT_STATUS,MIN_MRT(OPEN)_DIST,MIN_HAWK_DIST,HAWK_TYPE,HAWK_OWNER,HAWK_NUMBER_OF_STALLS,MIN_PS_DIST,MIN_SS_DIST,MIN_MALL_DIST,cbd_dist,NUM_MRT_WITHIN_1.5KM,NUM_HAWK_WITHIN_1.5KM,NUM_PS_WITHIN_1.5KM,NUM_SS_WITHIN_1.5KM,NUM_MALL_WITHIN_1.5KM
608 ang mo kio avenue 5,1.378582,103.83676,12,ang mo kio,674.4791452747122,open,674.4791452747122,506.0381744623377,MHC,HDB,218,543.4148908601065,602.1330164834678,1653.4508545134008,10692.122927649578,3,6,4,5,0
273 choa chu kang avenue 2,1.37925,103.743073,14,choa chu kang,405.8301229507094,planned,653.8563458112786,3949.2412978438756,MHC,HDB,225,214.99819758545283,620.0290755202383,1906.2517004040278,16072.986619081312,5,0,4,3,0
16 telok blangah crescent,1.278054,103.821505,14,bukit merah,1075.221840404641,open,1075.221840404641,326.4511197913206,MHC,HDB,133,454.2646322351583,316.4121808562713,1113.4567809829375,3360.7396070126556,5,10,5,3,1
473A fernvale street,1.39786,103.881233,26,sengkang,1678.1599275837996,open,1678.1599275837996,4062.537350238937,HC,Government,36,869.175972427231,883.235883150563,906.7846837388067,13130.234521662678,0,0,5,2,1
398 yishun ring road,1.427676,103.846523,12,yishun,1271.209947592738,open,1271.209947592738,2044.459205887517,MHC,HDB,179,186.39302971076629,774.1712337324402,1151.5185782928072,16006.364855090844,1,0,5,4,1
391 yishun avenue 6,1.429468,103.849171,11,yishun,1550.423785891168,open,1550.423785891168,2306.558377334071,MHC,HDB,179,241.13965910295792,1056.614842170132,1456.2460775411867,16197.41722748315,0,0,5,3,1
495C tampines street 43,1.363239,103.951625,13,tampines,832.167630274968,open,832.167630274968,2123.4175814182445,MHC,HDB,144,444.32892897010487,532.5253460589698,1061.588329201406,14261.163486785561,7,0,8,9,5
643 hougang avenue 8,1.371546,103.88062,17,hougang,787.6605401449323,planned,1291.2779302825834,1504.8872835805312,MHC,HDB,186,274.3877930647696,292.91504837711244,1420.5273165866904,10320.379374817856,4,0,5,5,2
245 bukit batok east avenue 5,1.349648,103.757333,4,bukit batok,848.6874680313692,open,848.6874680313692,2284.6086716798386,MHC,HDB,147,466.0699581692029,592.1378352068182,904.9167981845515,12793.460831568907,3,0,4,2,1
662B edgedale plains,1.401722,103.918691,19,punggol,833.1526363541273,planned,833.1526363541273,5951.435166891363,MHC,HDB,186,320.0959891477042,939.4431491476731,620.5318189671822,15118.996072738115,2,0,6,2,2
450 ang mo kio avenue 10,1.368484,103.855468,4,ang mo kio,690.8496825864759,open,690.8496825864759,102.8568420043951,MHC,HDB,222,556.4881808124185,425.87467457030283,784.3128098492356,9463.756772136741,4,7,3,3,1
628 yishun street 61,1.418078,103.836957,12,yishun,462.5870577079711,open,462.5870577079711,1750.265990349907,MHC,HDB,179,283.0919474978904,135.81777571659384,1089.8523500737906,15021.28586949886,2,0,5,5,1
411A fernvale road,1.390548,103.876909,25,sengkang,1991.7851621040759,open,1991.7851621040759,3130.7719836577353,HC,Government,36,275.55687645232837,173.88405001879804,134.11483701283598,12228.8499149564,0,0,3,2,1
533 bedok north street 3,1.33358,103.924219,13,bedok,781.2169093302718,open,781.2169093302718,173.1783600215348,MHC,HDB,124,388.549698794065,489.1643402464911,1127.1958149112347,9855.800135862379,3,5,4,2,1
271B punggol walk,1.404171,103.900581,16,punggol,246.1513833173469,open,246.1513833173469,5241.029599578762,MHC,HDB,186,322.27807582959093,459.8452118168824,304.8024862982888,14477.500904286731,3,0,9,6,3
509C yishun avenue 4,1.414303,103.840417,13,yishun,894.4725034411431,open,894.4725034411431,2311.2037944544604,MHC,HDB,179,285.87677184918516,306.0760054037067,1576.0744690714519,14569.244584934151,1,0,4,4,0
119 pending road,1.376538,103.769042,4,bukit panjang,844.4041860374997,open,844.4041860374997,4203.544113139473,MHC,Government,179,324.55911601830735,570.7270497862958,1073.1949003640973,13812.347872685965,3,0,7,3,1
672C yishun avenue 4,1.418361,103.842651,13,yishun,1093.1484072336327,open,1093.1484072336327,2135.5961390444627,MHC,HDB,179,346.3995706078951,388.15826557465516,1277.5577428232875,14998.445734223082,2,0,5,4,1
304A anchorvale link,1.387892,103.888922,16,sengkang,728.9884038056947,open,728.9884038056947,3201.381259446727,MHC,HDB,186,336.6170367469851,156.49643707508278,824.600123233015,12331.007505753527,3,0,10,5,2
168B simei lane,1.342612,103.958768,12,tampines,300.89580304197597,open,300.89580304197597,1602.8598123112213,MHC,HDB,144,789.457477504919,703.9978942973999,639.2179942283062,13656.300566354521,4,0,4,2,3
34 upper cross street,1.286235,103.842303,20,outram,223.16784293158088,open,223.16784293158088,155.2205582133568,HC,HDB,87,1123.153320997835,576.8709542787985,193.58916477097006,1063.2688543505872,22,10,3,1,8
21 ghim moh road,1.310103,103.788546,10,queenstown,414.7936368615685,open,414.7936368615685,104.92317832230667,MHC,HDB,230,867.1590880671619,1059.1412605474209,346.7147036916893,7599.819755108746,6,5,2,2,2
433 choa chu kang avenue 4,1.384931,103.741772,12,choa chu kang,297.45723219831154,open,297.45723219831154,4510.633041686453,MHC,HDB,225,617.6569701745086,482.1881991517756,2109.3224191818513,16601.658806599622,5,0,6,4,0
134 teck whye lane,1.380266,103.750957,15,choa chu kang,894.0736581062567,open,894.0736581062567,4324.631167000574,MHC,HDB,147,455.56548306022347,572.6900197925183,1025.098354958585,15504.150588719704,7,0,4,4,1
257A compassvale road,1.392386,103.897648,15,sengkang,305.2238004293237,open,305.2238004293237,3901.83600110028,MHC,HDB,186,228.40414398930128,481.9606593043272,289.1403629544359,13149.247296881866,3,0,12,6,1
15 upper boon keng road,1.315873,103.871296,16,kallang,487.1092076433496,open,487.1092076433496,100.1520116180217,MHC,HDB,144,928.1038125671441,1279.9688829678887,1430.0999828758518,4262.040796575794,6,5,3,1,1
610 jurong west street 65,1.338325,103.700856,15,jurong west,413.3195188845946,open,413.3195188845946,1532.6834778855482,MHC,HDB,166,246.95088771522697,366.4659425833504,553.5605687162357,17825.610770688363,7,0,6,3,3
482 segar road,1.389161,103.772292,16,bukit panjang,1682.7576963957554,open,1682.7576963957554,4979.696219401017,HC,HDB,78,595.2973293454087,759.7400786369219,1665.0768331854656,14666.646976305843,0,0,5,2,0
99B lorong 2 toa payoh,1.338745,103.847253,13,toa payoh,185.79324403905406,open,185.79324403905406,253.27959052643862,MHC,HDB,60,156.00878381685106,594.9605111252321,651.5324586020507,6180.428226414946,7,6,6,7,2
636 pasir ris drive 1,1.37679,103.940742,13,pasir ris,839.9595129706241,planned,1075.2711831806412,3500.760612881625,MHC,HDB,144,148.6770923831375,1397.2657941148323,1656.0003793869444,14374.819251639443,5,0,4,1,0
517 woodlands drive 14,1.43383,103.79168,12,woodlands,681.7229537299844,open,681.7229537299844,1313.3224402645767,HC,HDB,78,201.671893515317,779.5918234388562,708.8715397793275,17949.359177293125,4,1,8,6,1
188B rivervale drive,1.394541,103.905459,17,sengkang,1206.5523620996826,open,1206.5523620996826,4476.007815445715,MHC,HDB,186,160.15439032407588,454.00871632188756,845.1126246166672,13727.601662880914,7,0,11,6,4
410 hougang avenue 10,1.373886,103.894682,4,hougang,388.8227582380716,open,388.8227582380716,1897.53569916425,MHC,HDB,186,328.4549995567561,321.74266255967206,183.91151749891046,11149.25762792967,4,0,8,7,1
681 race course road,1.313721,103.855273,12,kallang,206.45605112808414,open,206.45605112808414,620.9888788183407,MHC,HDB,124,523.3908825688981,1041.2319126020814,295.44191235946005,3425.625368327711,11,8,4,3,6
159 bedok south avenue 3,1.319046,103.945624,13,bedok,400.1158171675996,planned,528.0079930900046,758.6895599776058,MHC,HDB,195,148.10528394368492,407.8263872212956,1927.191541533226,11228.627769978519,6,3,2,4,0
92 commonwealth drive,1.305732,103.800254,10,queenstown,417.33187981653253,open,417.33187981653253,129.7622577359361,MHC,Government,102,673.613273752706,646.771658414045,754.7690574698654,6212.21311674193,5,8,2,1,2
272A sengkang central,1.385262,103.893959,15,sengkang,292.4744216696832,open,292.4744216696832,3025.3284303561236,MHC,HDB,186,333.51687854519884,509.8178946193337,761.0431586463011,12263.79826323504,3,0,13,7,2
259 boon lay drive,1.345514,103.708636,15,jurong west,405.33514298528706,planned,824.5806498468856,464.6266025656813,MHC,HDB,166,577.8302872015338,164.49376818100035,704.5935324865261,17316.630534287135,8,3,9,5,3
364 tampines street 34,1.356938,103.959873,10,tampines,576.4523726434287,open,576.4523726434287,2124.4739337735286,MHC,HDB,144,511.4382127947501,116.2788763497471,968.0577680962872,14589.147660992485,2,0,6,7,2
441 hougang avenue 8,1.378453,103.89394,4,hougang,488.25036684069335,open,488.25036684069335,2314.5201441436693,MHC,HDB,186,85.57005333369786,654.9163239822835,659.0581087698563,11572.402593247383,5,0,11,8,1
296E choa chu kang avenue 2,1.376917,103.743047,15,choa chu kang,456.42470351595716,planned,907.1978389813884,3704.802454989633,MHC,HDB,225,164.0768456289399,786.5454876927952,1942.5189176714441,15905.540134224231,5,0,4,3,0
292 bishan street 22,1.356017,103.845668,24,bishan,618.2614506640151,open,618.2614506640151,939.2968390342485,MHC,HDB,118,242.27572362634888,168.1112475611987,702.2296623731027,8098.137588577161,7,5,5,7,1
612 woodlands avenue 4,1.435082,103.796733,12,woodlands,776.4348569659281,open,776.4348569659281,1882.966554915266,HC,HDB,78,79.54288416920555,751.8038095643425,1233.2870395463494,17879.328892666006,4,0,10,7,1
446 jurong west street 42,1.352216,103.719556,4,jurong west,637.4759563723121,planned,861.5585318292312,308.8395084923822,HC,Government,76,550.0382996336813,253.68820052528744,2010.9099595196117,16539.221764197253,4,3,4,6,0
543 jelapang road,1.382495,103.764046,19,bukit panjang,530.9329931069526,open,530.9329931069526,4974.770359764132,MHC,Government,179,443.2336000825292,669.3446810465832,493.1475725888804,14674.102048056182,2,0,7,4,1
605 yishun street 61,1.421726,103.836336,13,yishun,632.7246181199607,open,632.7246181199607,1381.566719578123,MHC,HDB,179,517.8150688219898,300.3362325275293,683.2478260610949,15429.744822982575,2,1,9,6,1
672B klang lane,1.309037,103.852848,19,rochor,381.54864005170526,open,381.54864005170526,402.47987569877927,MHC,HDB,403,435.23874935946895,727.4040278403568,296.7320967659395,2884.187100815961,14,6,3,4,9
630 yishun street 61,1.418019,103.837784,12,yishun,551.6235287764488,open,551.6235287764488,1806.5676887557584,MHC,HDB,179,220.15802331327868,140.44715437776284,1107.4397845367976,15005.293697621712,2,0,5,4,1
637 veerasamy road,1.307028,103.855528,13,rochor,165.1270191771841,open,165.1270191771841,155.44474570367834,HC,Government,66,793.5041928919879,358.9049522233232,342.03136239642924,2698.2372314005224,15,6,1,4,12
5 teck whye avenue,1.382114,103.753565,13,choa chu kang,993.865093328219,open,993.865093328219,4619.998990928149,MHC,HDB,147,172.53899089718897,217.93137800153715,760.6475918375692,15440.780402952741,5,0,5,5,1
519 jurong west street 52,1.345538,103.717583,4,jurong west,409.4198343272333,open,409.4198343272333,465.4281774496753,HC,Government,76,164.6766628562347,537.323201724,1387.0211789439359,16409.620053877406,3,4,5,6,1
484A choa chu kang avenue 5,1.376685,103.736818,16,choa chu kang,380.5232992592961,planned,1251.2417762520847,3503.98478257549,MHC,HDB,225,373.31973819714773,638.0075146364269,2629.752688173244,16420.650604643455,5,0,3,1,0
503C canberra link,1.450538,103.822941,13,sembawang,352.49195201706493,open,352.49195201706493,2200.8527429691926,MHC,HDB,179,168.455958055448,891.0989654163546,462.1524935490972,18792.40673520702,2,0,5,2,3
508 jurong west street 52,1.348727,103.718715,4,jurong west,531.1619138684315,open,531.1619138684315,107.1659781160981,HC,Government,76,221.67573295044957,473.74430223785424,1686.4827418638008,16448.188198260974,4,4,5,6,0
129 marsiling rise,1.437811,103.778702,10,woodlands,754.504680616629,open,754.504680616629,489.8628252626476,HC,HDB,78,714.0429484443921,326.3927301789357,802.6988100027793,18929.034867061986,5,2,6,5,1
413 tampines street 41,1.359459,103.945575,4,tampines,527.548698992849,open,527.548698992849,1561.1119411940572,MHC,HDB,144,368.2596936681756,690.548856182217,772.6799225883748,13474.309319402644,7,0,9,9,4
519 woodlands drive 14,1.434589,103.791963,12,woodlands,669.7978234271817,open,669.7978234271817,1349.398361742946,HC,HDB,78,221.31577436437183,800.650999045386,715.6143122354672,18015.79954872239,4,1,8,6,1
664C jurong west street 64,1.338211,103.703156,16,jurong west,301.18685209282637,open,301.18685209282637,1324.195674711093,MHC,HDB,166,432.7646237672352,347.2783566592621,416.0227657141778,17581.026938540075,7,1,6,3,3
231 serangoon avenue 3,1.355018,103.868368,12,serangoon,596.553097760603,open,596.553097760603,888.1333156965031,MHC,Government,82,553.5890968115546,529.9111633237135,641.7443561143415,8186.790199220541,3,2,4,3,1
667C jurong west street 65,1.341148,103.702296,16,jurong west,473.38936455191947,planned,483.364132224641,1252.9603695862713,MHC,HDB,166,445.6710990148422,179.78629409365703,523.2124624689686,17785.612832832252,7,1,6,4,3
763 yishun street 72,1.425362,103.834546,4,yishun,460.08809173635444,open,460.08809173635444,948.631393765709,MHC,HDB,179,525.8044406965919,712.6796151090994,334.5588134684126,15851.701331124472,2,1,8,8,1
316 sembawang vista,1.446343,103.820817,16,sembawang,305.6292137093998,open,305.6292137093998,1857.6678236749822,MHC,HDB,179,142.53615262933707,456.6187191468141,251.69797676408928,18377.46096179622,2,0,5,2,3
311C anchorvale lane,1.391571,103.884436,18,sengkang,1175.6824931521987,open,1175.6824931521987,3596.7629106034033,MHC,HDB,186,331.4677320480837,677.8537316248913,924.8614192584251,12558.839563158424,3,0,6,2,2
803 tampines avenue 4,1.345198,103.937689,9,tampines,81.87577573692538,open,81.87577573692538,772.5881177401409,MHC,HDB,144,307.9731313828466,502.2014844374136,970.5839648034533,11820.939626811967,4,2,9,7,3
108 mcnair road,1.321619,103.859383,15,kallang,349.93036361832253,open,349.93036361832253,484.2172459450789,MHC,HDB,193,195.93537123197223,323.4179714987845,1168.698911098486,4364.011229874868,4,5,4,2,2
120 bukit merah view,1.282774,103.822612,16,bukit merah,606.3460807298645,open,606.3460807298645,314.38117205061286,MHC,HDB,182,404.29534477615425,820.9070060616167,637.2969412452051,3192.8362184014104,3,11,5,4,1
314A punggol way,1.408262,103.898018,18,punggol,598.0441306327631,open,598.0441306327631,5598.4541874159195,MHC,HDB,186,196.9220174038678,243.08585779657406,481.2661620766405,14794.499042155538,3,0,6,4,1
219 pasir ris street 21,1.369264,103.961693,12,pasir ris,354.6079876917506,planned,1414.9675058123541,3253.47771602162,MHC,HDB,144,370.23735394708496,119.30830929757187,411.6874828664771,15553.841358013946,5,0,3,7,2
703 woodlands drive 40,1.440957,103.796577,12,woodlands,485.66036544391125,open,485.66036544391125,2030.7294649267656,HC,HDB,78,417.5850516371785,277.7714081383105,1329.5127512194777,18497.3608609971,3,0,9,5,1
263 boon lay drive,1.344942,103.707024,15,jurong west,489.36487638296467,planned,712.4869956233063,643.6724170526452,MHC,HDB,166,672.6393857040624,242.01082131299677,608.2273091785664,17456.352538408813,8,3,8,4,3
604B tampines avenue 9,1.361407,103.935627,16,tampines,890.8267322106791,planned,1160.7420093331898,2036.424235984799,MHC,HDB,144,417.4781160726404,883.3319481683374,1017.4858455783137,12776.53395020125,3,0,5,3,3
7 upper aljunied lane,1.334715,103.878708,18,toa payoh,898.6785643040321,open,898.6785643040321,1142.0317177756708,HC,HDB,106,356.884816972509,541.8410721833185,1913.2251690199043,6481.04176548659,5,3,4,5,0
282 choa chu kang avenue 3,1.380254,103.743214,13,choa chu kang,445.8772986530689,planned,542.3468570797169,4059.4868157974097,MHC,HDB,225,315.80407363283155,583.1002506727996,1886.7889975647224,16135.008018744165,5,0,4,3,0
533 bukit panjang ring road,1.384956,103.763765,24,bukit panjang,768.6558515437059,open,768.6558515437059,5245.202765555378,MHC,Government,179,417.03938836386936,424.18149763883537,648.9232984843075,14899.63716334087,2,0,7,4,1
70 bedok south road,1.319969,103.942819,16,bedok,586.8433698459155,open,586.8433698459155,504.5014034223491,MHC,HDB,195,397.1526586253329,475.17712311133783,1598.8166818369707,10974.949411020347,5,6,2,4,0
679C jurong west central 1,1.343923,103.706396,15,jurong west,459.82136115029033,planned,590.7061150876257,727.1780875095197,MHC,HDB,166,745.4499924257246,292.74724156692685,495.4253938262357,17476.92308742519,8,3,8,4,3
360B admiralty drive,1.448738,103.815232,16,sembawang,548.5479922894339,open,548.5479922894339,2418.215273324604,MHC,HDB,179,286.39415308492977,418.8099637616062,478.9616787121657,18760.889427219114,1,0,6,3,2
938 tampines avenue 5,1.347904,103.941725,9,tampines,458.15711907760254,open,458.15711907760254,427.5181498771564,MHC,HDB,144,278.58000219185624,319.9321234532212,545.5197255611599,12360.354413075413,4,1,11,6,5
55 strathmore avenue,1.293383,103.809331,20,queenstown,376.68736946842967,open,376.68736946842967,715.4539952489591,MHC,HDB,113,314.8049946668673,429.8554082994614,919.642251166289,4809.828955173813,2,7,3,5,1
